jeu_donnees,L1_taille,cpi,ipc,numCycles,icache_miss,dcache_miss,l2_miss,bp_cond_mispredict_rate,btb_hit_ratio,bp_mispredict_rate
small,1kB,4.079991,0.245099,14624704,0.316314,0.19631,0.008791,0.026542,0.992542,0.01428
small,2kB,3.979778,0.25127,14265489,0.122096,0.163824,0.013646,0.026488,0.992532,0.014261
small,4kB,3.786957,0.264064,13574326,0.025085,0.109793,0.024544,0.026481,0.992423,0.014259
small,8kB,3.432142,0.291363,12302491,0.002292,0.022869,0.137197,0.026477,0.992398,0.014257
small,16kB,3.416046,0.292736,12244798,0.001991,0.018771,0.171628,0.026476,0.992378,0.014256
large,1kB,3.98556,0.250906,52569507,0.298324,0.17979,0.002522,0.024662,0.994215,0.013479
large,2kB,3.891811,0.25695,51332958,0.128575,0.150293,0.0038,0.024606,0.994212,0.01346
large,4kB,3.71034,0.269517,48939356,0.024655,0.10075,0.007018,0.024604,0.994176,0.013459
large,8kB,3.376485,0.296166,44535817,0.000663,0.021041,0.040011,0.024603,0.994169,0.013459
large,16kB,3.359659,0.297649,44313880,0.000535,0.016767,0.051709,0.024603,0.994164,0.013458
