case,cpi,ipc,ticks_per_cycle,mpki_l1,avg_l1_miss_cycles,mpki_l2,avg_l2_miss_cycles,deltaCPI_mem_total,pctCPI_mem_total,deltaCPI_l1_only,pctCPI_l1_only,deltaCPI_l2_miss,pctCPI_l2_miss
bfA7_small,3.361536,0.297483,499.999959,1.216909,109.570947,0.945803,123.283407,0.13333784,3.9666,0.01673605,0.4979,0.11660179,3.4687
bfA15_small,0.704577,1.419292,499.999797,1.182617,111.055012,0.538190,121.721924,0.13133553,18.6403,0.06582599,9.3426,0.06550955,9.2977
bfA7_large,3.303027,0.302753,499.999989,0.358239,102.380239,0.257044,123.383371,0.03667662,1.1104,0.00496168,0.1502,0.03171494,0.9602
bfA15_large,0.667845,1.497354,499.999943,0.347023,102.046756,0.150651,121.719148,0.03541261,5.3025,0.01707550,2.5568,0.01833711,2.7457
