jeu_donnees,L1_taille,cpi,numCycles,dossier_sortie
small,2kB,1.540276,70752824,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A15/dijkstra_small_L1_2kB
small,4kB,1.381802,63473336,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A15/dijkstra_small_L1_4kB
small,8kB,1.050205,48241328,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A15/dijkstra_small_L1_8kB
small,16kB,0.965936,44370447,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A15/dijkstra_small_L1_16kB
small,32kB,0.862920,39638397,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A15/dijkstra_small_L1_32kB
large,2kB,1.529689,311924339,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A15/dijkstra_large_L1_2kB
large,4kB,1.395314,284523493,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A15/dijkstra_large_L1_4kB
large,8kB,1.106843,225700387,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A15/dijkstra_large_L1_8kB
large,16kB,1.019278,207844723,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A15/dijkstra_large_L1_16kB
large,32kB,0.874175,178256225,/home/santiago/archmic/Tp4/dijkstra/runs_L1_A15/dijkstra_large_L1_32kB
