jeu_donnees,L1_taille,cpi,ipc,numCycles,icache_miss,dcache_miss,l2_miss,bp_cond_mispredict_rate,btb_hit_ratio,bp_mispredict_rate
small,2kB,1.540276,0.649234,70752824,0.141064,0.168658,0.000894,0.020284,0.977894,0.01574
small,4kB,1.381802,0.723692,63473336,0.09144,0.122259,0.001248,0.020246,0.974238,0.015705
small,8kB,1.050205,0.952195,48241328,0.015569,0.055653,0.003142,0.021856,0.967528,0.015344
small,16kB,0.965936,1.035265,44370447,0.007601,0.036464,0.005081,0.021854,0.965923,0.015331
small,32kB,0.86292,1.158855,39638397,0.004631,0.011066,0.01644,0.021869,0.965203,0.015327
large,2kB,1.529689,0.653728,311924339,0.052706,0.18178,0.000221,0.01117,0.990873,0.009157
large,4kB,1.395314,0.716685,284523493,0.026382,0.141596,0.000291,0.011144,0.989502,0.009131
large,8kB,1.106843,0.90347,225700387,0.005631,0.07399,0.000589,0.01155,0.987728,0.009086
large,16kB,1.019278,0.981086,207844723,0.002244,0.052189,0.000871,0.011546,0.987292,0.009082
large,32kB,0.874175,1.143935,178256225,0.001183,0.016786,0.00304,0.011588,0.986845,0.009098
